GRE,IELTS,TOEFL,UNDERGRAD,WORK EX,YEAR,UNIVERSITY,STATUS
318.0,,105.0,85.0,22.0,Fall 2019,usc,2
323.0,7.5,,8.93,0.0,Fall 2019,usc,2
324.0,,113.0,8.92,0.0,Fall 2019,usc,2
313.0,7.5,,8.92,12.0,Fall 2019,usc,2
322.0,,118.0,8.89,1.0,Fall 2019,usc,2
311.0,,102.0,8.9,37.0,Fall 2019,usc,2
320.0,8.0,,8.9,1.0,Fall 2019,usc,2
314.0,,105.0,73.33,20.0,Fall 2019,usc,2
316.0,7.5,,8.5,10.0,Fall 2019,usc,2
317.0,,113.0,9.15,30.0,Fall 2019,usc,2
310.0,,96.0,8.89,0.0,Fall 2019,usc,2
314.0,,105.0,8.82,15.0,Fall 2019,usc,2
314.0,,104.0,9.33,18.0,Fall 2019,usc,2
327.0,,117.0,9.2,4.0,Fall 2019,usc,2
311.0,8.0,,9.0,7.0,Fall 2019,usc,2
319.0,,104.0,9.0,0.0,Fall 2019,usc,2
322.0,,101.0,8.835,3.0,Fall 2019,usc,2
318.0,,103.0,8.52,27.0,Fall 2019,usc,2
327.0,,114.0,8.97,0.0,Fall 2019,usc,2
323.0,,107.0,75.2,0.0,Fall 2019,usc,2
319.0,8.0,,78.6,24.0,Spring 2020,usc,2
315.0,,102.0,81.9,8.0,Spring 2020,usc,2
319.0,,110.0,80.0,14.0,Fall 2019,usc,2
321.0,,112.0,8.55,4.0,Fall 2019,usc,2
315.0,,96.0,77.92,11.0,Fall 2019,usc,2
318.0,,108.0,9.5,34.0,Fall 2019,usc,2
319.0,,119.0,9.26,27.0,Fall 2019,usc,2
321.0,,110.0,8.83,1.0,Fall 2019,usc,2
321.0,,113.0,8.8,2.0,Fall 2019,usc,2
328.0,,112.0,9.43,2.0,Fall 2019,usc,2
316.0,,99.0,74.2,30.0,Fall 2019,usc,2
322.0,,113.0,9.03,3.0,Fall 2019,usc,2
312.0,7.5,,9.04,0.0,Fall 2019,usc,2
317.0,,100.0,9.56,26.0,Fall 2019,usc,2
324.0,,105.0,9.15,2.0,Fall 2019,usc,2
319.0,,111.0,9.23,14.0,Fall 2019,usc,2
325.0,,114.0,9.37,0.0,Fall 2019,usc,2
308.0,,101.0,8.83,34.0,Fall 2019,usc,2
320.0,,113.0,9.42,0.0,Fall 2019,usc,2
310.0,,92.0,8.85,0.0,Fall 2019,usc,2
319.0,,112.0,86.77,22.0,Fall 2019,usc,2
317.0,,110.0,9.68,16.0,Fall 2019,usc,2
307.0,,105.0,9.12,25.0,Fall 2019,usc,2
317.0,,98.0,9.45,29.0,Fall 2019,usc,2
304.0,,100.0,9.7,28.0,Fall 2018,usc,2
312.0,,104.0,9.72,33.0,Fall 2020,usc,2
334.0,,114.0,9.8,0.0,Fall 2019,usc,2
320.0,,103.0,8.8,6.0,Fall 2019,usc,2
329.0,,111.0,9.12,48.0,Fall 2019,usc,2
313.0,,96.0,8.9,28.0,Fall 2019,usc,2
310.0,,99.0,92.11,3.0,Fall 2019,usc,2
303.0,7.0,,9.04,3.0,Fall 2019,usc,2
309.0,,94.0,9.56,35.0,Fall 2019,usc,2
311.0,,96.0,9.12,2.0,Fall 2019,usc,2
300.0,,92.0,9.06,0.0,Fall 2019,usc,2
314.0,,95.0,8.6,0.0,Fall 2019,usc,2
321.0,,0.0,9.0,6.0,Fall 2019,usc,2
320.0,,105.0,9.36,0.0,Fall 2019,usc,2
321.0,,108.0,84.08,6.0,Fall 2019,usc,2
312.0,,102.0,9.72,44.0,Fall 2019,usc,2
312.0,,108.0,9.05,2.0,Fall 2019,usc,2
320.0,,104.0,8.04,3.0,Fall 2019,usc,2
319.0,,115.0,9.12,2.0,Fall 2019,usc,2
312.0,7.5,,8.56,6.0,Fall 2019,usc,2
313.0,,96.0,9.1,24.0,Fall 2019,usc,2
316.0,,106.0,8.96,1.0,Fall 2019,usc,2
318.0,,108.0,9.41,28.0,Fall 2018,usc,2
317.0,7.5,,9.2,2.0,Fall 2019,usc,2
315.0,,105.0,9.1,8.0,Fall 2019,usc,2
330.0,,119.0,9.39,32.0,Fall 2018,usc,2
323.0,,106.0,9.1,19.0,Fall 2019,usc,2
320.0,,107.0,9.19,4.0,Fall 2019,usc,2
322.0,,105.0,69.0,18.0,Fall 2019,usc,2
316.0,,103.0,8.9,8.0,Fall 2019,usc,2
314.0,,102.0,9.14,19.0,Fall 2018,usc,2
323.0,8.0,,9.1,20.0,Fall 2019,usc,2
319.0,,100.0,9.21,14.0,Fall 2019,usc,2
315.0,,106.0,9.46,4.0,Fall 2019,usc,2
330.0,8.5,,9.1,4.0,Fall 2019,usc,2
316.0,,110.0,9.1,21.0,Fall 2019,usc,2
316.0,7.0,,9.4,22.0,Fall 2018,usc,2
310.0,,101.0,9.66,14.0,Fall 2019,usc,2
326.0,,115.0,9.83,22.0,Fall 2019,usc,2
318.0,,111.0,9.5,0.0,Fall 2018,usc,2
311.0,,92.0,9.2,0.0,Fall 2019,usc,2
312.0,7.5,,9.54,36.0,Fall 2019,usc,2
320.0,,104.0,9.66,2.0,Fall 2019,usc,2
310.0,,102.0,9.1,21.0,Fall 2019,usc,2
310.0,,104.0,9.0,0.0,Fall 2019,usc,2
315.0,,109.0,9.72,1.0,Fall 2019,usc,2
328.0,,112.0,9.37,0.0,Fall 2019,usc,2
313.0,8.0,,9.55,1.0,Fall 2019,usc,2
313.0,7.5,,9.78,0.0,Fall 2019,usc,2
314.0,,104.0,9.75,26.0,Fall 2019,usc,2
315.0,,111.0,80.0,26.0,Fall 2019,usc,2
314.0,,106.0,9.152,15.0,Fall 2019,usc,2
325.0,,111.0,9.38,16.0,Fall 2019,usc,2
333.0,,108.0,9.37,5.0,Fall 2019,usc,2
318.0,,105.0,9.127,7.0,Fall 2019,usc,2
315.0,,103.0,9.28,40.0,Fall 2018,usc,2
332.0,,117.0,9.19,10.0,Fall 2019,usc,2
319.0,,108.0,9.61,15.0,Fall 2019,usc,2
313.0,,101.0,9.0,60.0,Fall 2019,usc,2
317.0,,113.0,9.1,6.0,Fall 2019,usc,2
319.0,,108.0,8.9,0.0,Fall 2019,usc,2
,,114.0,9.46,0.0,Fall 2019,usc,2
311.0,,99.0,79.0,0.0,Fall 2019,usc,2
320.0,,116.0,9.69,32.0,Fall 2019,usc,2
330.0,,110.0,83.0,15.0,Fall 2019,usc,2
315.0,,114.0,9.5,1.0,Fall 2019,usc,2
320.0,,114.0,9.3,0.0,Fall 2019,usc,2
318.0,,108.0,91.1,0.0,Fall 2019,usc,2
324.0,,112.0,8.8,10.0,Fall 2019,usc,2
315.0,,103.0,9.33,30.0,Fall 2019,usc,2
320.0,,109.0,9.79,8.0,Fall 2019,usc,2
326.0,,116.0,8.775,30.0,Fall 2019,usc,2
326.0,8.5,,8.84,3.0,Fall 2019,usc,2
313.0,,101.0,9.06,36.0,Fall 2019,usc,2
316.0,,107.0,8.99,27.0,Fall 2019,usc,2
321.0,,104.0,8.81,10.0,Fall 2019,usc,2
310.0,,100.0,9.36,8.0,Fall 2019,usc,2
313.0,,104.0,9.5,42.0,Fall 2019,usc,2
326.0,,114.0,9.8,1.0,Fall 2019,usc,2
328.0,,114.0,8.84,1.0,Fall 2019,usc,2
329.0,,108.0,8.78,21.0,Fall 2019,usc,2
320.0,,110.0,9.36,12.0,Fall 2019,usc,2
316.0,,104.0,9.2,20.0,Fall 2019,usc,2
317.0,,111.0,9.13,2.0,Fall 2019,usc,2
321.0,,114.0,9.01,5.0,Fall 2019,usc,2
316.0,,110.0,9.2,29.0,Fall 2019,usc,2
