GRE,IELTS,TOEFL,UNDERGRAD,WORK EX,YEAR,UNIVERSITY,STATUS
333.0,,112.0,9.06,26.0,Fall 2020,neu,2
296.0,6.5,,75.0,36.0,Spring 2020,neu,2
328.0,,120.0,9.86,4.0,Fall 2020,neu,2
316.0,,111.0,9.06,0.0,Fall 2020,neu,2
,,115.0,9.0,0.0,Fall 2020,neu,2
314.0,,103.0,86.53,4.0,Fall 2020,neu,2
323.0,,112.0,9.4,1.0,Fall 2020,neu,2
319.0,8.0,,8.8,24.0,Fall 2019,neu,2
318.0,,112.0,8.683,32.0,Fall 2020,neu,2
318.0,,106.0,8.38,24.0,Fall 2020,neu,2
333.0,,119.0,8.85,37.0,Fall 2020,neu,2
324.0,,109.0,8.9,0.0,Fall 2020,neu,2
322.0,,108.0,9.14,0.0,Fall 2020,neu,2
324.0,8.0,,66.7,38.0,Fall 2020,neu,2
320.0,,105.0,7.0,28.0,Fall 2020,neu,2
320.0,,107.0,80.33,10.0,Fall 2020,neu,2
320.0,,102.0,9.22,0.0,Fall 2020,neu,2
324.0,7.5,,8.1,9.0,Fall 2020,neu,2
310.0,,105.0,8.94,2.0,Fall 2020,neu,2
331.0,,112.0,8.58,2.0,Fall 2020,neu,2
319.0,,112.0,8.98,39.0,Fall 2020,neu,2
300.0,7.0,,8.87,9.0,Fall 2020,neu,2
308.0,8.0,,90.0,9.0,Fall 2020,neu,2
329.0,,116.0,9.45,3.0,Fall 2020,neu,2
324.0,,111.0,8.6,6.0,Fall 2020,neu,2
326.0,,118.0,8.49,8.0,Fall 2020,neu,2
317.0,,110.0,9.36,16.0,Fall 2020,neu,2
320.0,,101.0,9.35,18.0,Fall 2020,neu,2
319.0,,107.0,9.22,37.0,Fall 2020,neu,2
321.0,,103.0,9.0,0.0,Fall 2020,neu,2
317.0,,104.0,78.0,17.0,Fall 2020,neu,2
322.0,,106.0,8.43,18.0,Fall 2020,neu,2
317.0,7.0,,8.95,31.0,Fall 2020,neu,2
317.0,7.5,,8.95,28.0,Fall 2020,neu,2
316.0,,102.0,8.58,29.0,Fall 2020,neu,2
320.0,,110.0,8.8,23.0,Fall 2020,neu,2
320.0,,107.0,8.66,0.0,Fall 2020,neu,2
316.0,,101.0,7.5,24.0,Fall 2020,neu,2
317.0,,100.0,8.11,48.0,Fall 2020,neu,2
,,100.0,8.7,16.0,Fall 2020,neu,2
317.0,,113.0,8.8,0.0,Fall 2020,neu,2
313.0,8.0,,86.1,17.0,Fall 2018,neu,2
309.0,,107.0,8.07,6.0,Fall 2020,neu,2
301.0,,99.0,7.43,16.0,Fall 2019,neu,2
318.0,,103.0,9.2,25.0,Fall 2020,neu,2
319.0,,103.0,8.57,24.0,Fall 2020,neu,2
315.0,,102.0,7.96,5.0,Fall 2020,neu,2
301.0,7.5,,8.97,1.0,Fall 2020,neu,2
323.0,,116.0,81.83,0.0,Fall 2020,neu,2
322.0,,116.0,7.98,15.0,Fall 2020,neu,2
313.0,,103.0,8.45,20.0,Fall 2020,neu,2
313.0,,107.0,8.7,22.0,Fall 2020,neu,2
313.0,8.0,,8.28,5.0,Fall 2020,neu,2
318.0,,111.0,8.7,35.0,Fall 2020,neu,2
312.0,7.5,,9.07,21.0,Fall 2020,neu,2
322.0,,117.0,8.7,15.0,Fall 2020,neu,2
312.0,,107.0,72.0,22.0,Fall 2020,neu,2
331.0,,120.0,9.39,4.0,Fall 2020,neu,2
318.0,,110.0,8.8,0.0,Fall 2020,neu,2
315.0,,110.0,9.0,60.0,Fall 2020,neu,2
314.0,,108.0,8.9,14.0,Fall 2020,neu,2
318.0,,111.0,8.56,16.0,Fall 2020,neu,2
327.0,,106.0,8.34,9.0,Fall 2020,neu,2
315.0,,111.0,9.3,12.0,Fall 2020,neu,2
311.0,,105.0,8.6,11.0,Fall 2020,neu,2
310.0,,103.0,8.22,2.0,Fall 2020,neu,2
330.0,,113.0,8.16,3.0,Fall 2020,neu,2
320.0,,100.0,9.09,0.0,Fall 2020,neu,2
321.0,,107.0,9.5,4.0,Fall 2020,neu,2
321.0,,112.0,8.45,0.0,Fall 2020,neu,2
325.0,,110.0,9.03,0.0,Fall 2020,neu,2
312.0,,100.0,8.27,3.0,Fall 2020,neu,2
328.0,,114.0,8.46,32.0,Fall 2020,neu,2
312.0,,110.0,8.37,25.0,Fall 2020,neu,2
315.0,,106.0,8.64,49.0,Fall 2020,neu,2
308.0,8.0,,8.87,29.0,Fall 2020,neu,2
315.0,7.5,,77.77,24.0,Fall 2020,neu,2
311.0,,99.0,64.0,28.0,Fall 2020,neu,2
315.0,,107.0,8.45,1.0,Fall 2020,neu,2
310.0,,106.0,79.0,13.0,Fall 2020,neu,2
322.0,,103.0,9.0,36.0,Fall 2020,neu,2
323.0,,110.0,79.75,6.0,Fall 2020,neu,2
313.0,,116.0,8.3,4.0,Fall 2020,neu,2
321.0,,114.0,9.14,20.0,Fall 2020,neu,2
326.0,,108.0,9.29,21.0,Fall 2020,neu,2
